bid_discount,count_linktot_in,count_linktot_out,auction_type,participated,logmiles_fiwo,logcapital,backlog_lagged,firm_type_unlim_liab,auction_id,labor,region,year
7.5,,,0,1,4.130805,,,,374207,,"LOMBARDIA",2007
9.87,,,0,1,3.998714,,,,356973,,"VENETO",2006
4.686,,,0,1,,,,0,334321,,"LOMBARDIA",2006
12.381,,,0,1,,,,0,363047,,"LOMBARDIA",2006
15.76,,,0,1,,,,0,359909,,"VENETO",2006
17.48,,,0,1,0,,,1,374207,,"LOMBARDIA",2007
14.02,,,1,1,0,,,,372138,,"LOMBARDIA",2007
24.562,,,0,1,4.366088,,,0,347018,,"LOMBARDIA",2006
21.211,,,0,1,,,,0,344646,,"VENETO",2006
5,,,0,1,,,,,335673,,"LIGURIA",2006
18.92,,,0,1,,,,0,356545,,"PIEMONTE",2006
25.2,,,0,1,2.47494,,,0,374652,,"LOMBARDIA",2007
13.2,,,0,1,6.610217,,,,346379,,"PIEMONTE",2006
16.38,,,0,1,6.51826,,,,329955,,"PIEMONTE",2006
16.487,,,0,1,6.499357,,,,329957,,"PIEMONTE",2006
20.479,,,0,1,6.273462,,,,339995,,"LIGURIA",2006
20.9,,,0,1,,,,,356056,,"PIEMONTE",2006
2.01,,,0,1,4.246952,,,0,345144,,"LOMBARDIA",2006
13.774,,,0,1,,,,,325522,,"EMILIA ROMAGNA",2006
17.221,,,0,1,,,,,316385,,"PIEMONTE",2005
13.89,,,0,1,3.392728,,,0,369302,,"LOMBARDIA",2007
26.6,,,0,1,2.109971,,,,329783,,"PIEMONTE",2006
34.15,,,0,1,,,,,362363,,"LIGURIA",2006
9.598,,,0,1,2.824469,,,,334361,,"EMILIA ROMAGNA",2006
33.69,,,0,1,,,,0,362363,,"LIGURIA",2006
13.689,,,0,1,,,,1,331046,,"VENETO",2006
9.35,,,0,1,,,,0,344858,,"EMILIA ROMAGNA",2006
16.5,,,0,1,3.060443,,,0,369302,,"LOMBARDIA",2007
7.21,,,0,1,,,,1,358452,,"VENETO",2006
7.75,,,0,1,2.824469,,,,317026,,"EMILIA ROMAGNA",2005
17.23,,,0,1,4.112676,,,0,374258,,"PIEMONTE",2007
7.2,,,0,1,3.095894,,,,317026,,"EMILIA ROMAGNA",2005
22.871,,,0,1,,,,,332977,,"PIEMONTE",2006
24.67,,,0,1,2.818578,,0,1,348058,,"LOMBARDIA",2006
19.86,,,0,1,3.408239,,,,350681,,"LOMBARDIA",2006
21.65,,,0,1,3.434987,,0,1,357673,,"LOMBARDIA",2006
12.5,,,0,1,3.434987,,0,1,368552,,"LOMBARDIA",2007
14.85,,,0,1,,,,0,338824,,"LIGURIA",2006
14.143,,,0,1,6.674653,,,,337044,,"EMILIA ROMAGNA",2006
15.9,,,0,1,4.837004,,,,315818,,"EMILIA ROMAGNA",2005
16.848,,,0,1,4.837004,,0,,348231,,"EMILIA ROMAGNA",2006
